tx_id,customer_id,amount,compliance_label,latency_ms,fraud_risk_flag
f4015ee4,CUST_3855,1031,0,232,0
a9fbd422,CUST_3368,3493,1,226,0
9b94b342,CUST_3966,904,0,60,0
58e8cda0,CUST_6582,381,0,178,0
dfc4f5ab,CUST_3055,254,0,119,0
fafd7d89,CUST_1208,714,0,118,0
cd2190c7,CUST_6488,1232,0,208,0
f006d445,CUST_4480,4906,1,72,0
714d6716,CUST_5706,4992,1,157,0
3ebec3e7,CUST_9304,3441,1,239,0
9e6b7a9c,CUST_6090,2249,1,137,0
d51ae15c,CUST_6680,4601,1,146,0
7aabbe5a,CUST_7648,4675,1,160,0
06e05911,CUST_7657,1258,0,148,0
e8d1972e,CUST_4097,2285,1,223,0
9358d639,CUST_8735,2601,1,294,0
7c7f6cb4,CUST_3451,2754,1,160,0
ede33008,CUST_6253,3769,1,231,0
d380f381,CUST_1264,3044,1,217,0
be497c7b,CUST_2370,4745,1,70,0
7c32d009,CUST_9451,1859,0,151,0
651818db,CUST_4430,3872,1,238,0
67657e45,CUST_4913,2837,1,177,1
fea661ad,CUST_8220,2346,1,209,0
242dd2a6,CUST_3023,1991,0,104,0
c083695d,CUST_8616,4582,1,215,0
9ef76915,CUST_4101,4256,1,132,0
b0e5b3a1,CUST_7043,1764,0,196,0
a105920e,CUST_9061,342,0,163,0
5d033b88,CUST_2158,4949,1,121,0
adf2bc9d,CUST_6328,4341,1,173,0
e04a591b,CUST_7511,580,0,205,0
701fb7ad,CUST_1829,1830,0,58,0
b3447262,CUST_4677,4027,1,247,0
e1aba493,CUST_7742,1299,0,288,0
63c8719c,CUST_8615,4306,1,194,0
024a52e9,CUST_9941,4513,1,77,0
1002d373,CUST_6017,994,0,274,0
6b650e08,CUST_7349,1675,0,75,0
b3eb55fb,CUST_2939,4973,1,272,1
f8c648c2,CUST_8128,3987,1,76,1
1c6bb116,CUST_8519,2986,1,161,0
b8eb27fa,CUST_7272,3073,1,97,0
43b5afd5,CUST_7225,1243,0,123,0
a4524b54,CUST_9771,2795,1,126,0
32657e36,CUST_2371,2013,1,289,0
37b23f7a,CUST_5853,1663,0,56,0
a222b44f,CUST_2667,1790,0,226,0
65c5af56,CUST_4936,3112,1,155,0
237822b2,CUST_1229,3162,1,76,1
c3a16584,CUST_6203,4996,1,83,0
6ca5dfec,CUST_2498,2481,1,111,0
ee709496,CUST_7504,4100,1,104,0
589f0ebd,CUST_1982,2602,1,263,1
794f7170,CUST_5627,3868,1,149,0
d20a7b95,CUST_3929,1895,0,120,0
0e3b764c,CUST_7008,221,0,86,0
42f28a41,CUST_8242,1623,0,288,0
a7d2a73c,CUST_3980,717,0,175,0
655aeae0,CUST_6801,2088,1,267,0
c2192978,CUST_7966,3325,1,256,0
d9e28c61,CUST_7566,2633,1,203,0
6080b733,CUST_9709,2453,1,64,0
bffe467d,CUST_8239,3401,1,212,0
7c5e9e3d,CUST_8855,2571,1,256,0
f7ab239d,CUST_4899,3940,1,273,0
8f3f71c9,CUST_5867,4361,1,245,0
feee032f,CUST_1158,2302,1,273,0
5fc4a000,CUST_1571,2796,1,134,0
14c2b283,CUST_7205,2810,1,122,0
17b686e9,CUST_7529,2725,1,116,0
e01c2d21,CUST_9174,2861,1,137,0
06238d02,CUST_6187,3619,1,279,0
ead7bd8f,CUST_5281,1453,0,195,0
cdda3e74,CUST_5369,2087,1,145,0
8b2c8e7d,CUST_9085,911,0,216,0
bbdfd943,CUST_3994,1599,0,185,0
c320b397,CUST_6786,1049,0,250,0
e787f53b,CUST_9020,4229,1,259,0
5d72bc74,CUST_9925,375,0,226,0
f4e9ebf6,CUST_5837,4875,1,148,0
91400c22,CUST_7191,4035,1,130,0
a261b89d,CUST_3164,4189,1,123,0
ea2350ec,CUST_2703,2812,1,84,0
55d8ffb0,CUST_8285,655,0,233,0
40d31f50,CUST_2340,893,0,209,0
b3045956,CUST_9421,866,0,138,0
e72ec354,CUST_8355,2070,1,229,0
ff5a8d87,CUST_7697,1667,0,298,0
6d51df75,CUST_5906,3097,1,136,0
4e8f1da5,CUST_7116,592,0,114,0
2eff0b76,CUST_9634,4440,1,164,0
0979f416,CUST_1146,3798,1,277,0
a0183490,CUST_1250,1637,0,82,0
88099862,CUST_9550,148,0,121,0
17bc4ac0,CUST_9526,1397,0,121,0
4316fd38,CUST_7505,1157,0,57,0
415fb031,CUST_2724,833,0,51,0
ad7d7da9,CUST_8780,413,0,256,1
34097cd2,CUST_5678,3654,1,219,0
18f7ce95,CUST_5066,1224,0,138,0
885daa03,CUST_2857,1287,0,283,0
f40169a0,CUST_5325,2856,1,105,0
100a7932,CUST_4799,4059,1,295,0
635d87cb,CUST_9215,2463,1,232,0
2b8de35f,CUST_7762,1682,0,260,0
5059ad81,CUST_5868,4677,1,142,0
57a8184d,CUST_1620,4390,1,219,0
07483350,CUST_1036,2696,1,84,0
b8eaf9b7,CUST_4109,442,0,248,0
7fc1afa6,CUST_4330,3806,1,250,0
