transaction_id,customer,amount,is_compliant
TXN0001,Customer1,20016,1
TXN0002,Customer2,95992,0
TXN0003,Customer3,70950,0
TXN0004,Customer4,46107,1
TXN0005,Customer5,56281,0
TXN0006,Customer6,52723,0
TXN0007,Customer7,13954,1
TXN0008,Customer8,72031,0
TXN0009,Customer9,56283,0
TXN0010,Customer10,7322,1
TXN0011,Customer11,35040,1
TXN0012,Customer12,53330,0
TXN0013,Customer13,39272,1
TXN0014,Customer14,45368,1
TXN0015,Customer15,80097,0
TXN0016,Customer16,29551,1
TXN0017,Customer17,74327,0
TXN0018,Customer18,67343,0
TXN0019,Customer19,73513,0
TXN0020,Customer20,17408,1
TXN0021,Customer21,1172,1
TXN0022,Customer22,47916,1
TXN0023,Customer23,23307,1
TXN0024,Customer24,17240,1
TXN0025,Customer25,23236,1
TXN0026,Customer26,49381,1
TXN0027,Customer27,41038,1
TXN0028,Customer28,22989,1
TXN0029,Customer29,51363,0
TXN0030,Customer30,88604,0
TXN0031,Customer31,47990,1
TXN0032,Customer32,57158,0
TXN0033,Customer33,11209,1
TXN0034,Customer34,92211,0
TXN0035,Customer35,63183,0
TXN0036,Customer36,58785,0
TXN0037,Customer37,48927,1
TXN0038,Customer38,2337,1
TXN0039,Customer39,44094,1
TXN0040,Customer40,4765,1
TXN0041,Customer41,41515,1
TXN0042,Customer42,82965,0
TXN0043,Customer43,43842,1
TXN0044,Customer44,18073,1
TXN0045,Customer45,66022,0
TXN0046,Customer46,95738,0
TXN0047,Customer47,77431,0
TXN0048,Customer48,14987,1
TXN0049,Customer49,74322,0
TXN0050,Customer50,7587,1
TXN0051,Customer51,95657,0
TXN0052,Customer52,18251,1
TXN0053,Customer53,47790,1
TXN0054,Customer54,28672,1
TXN0055,Customer55,29589,1
TXN0056,Customer56,57357,0
TXN0057,Customer57,71053,0
TXN0058,Customer58,88708,0
TXN0059,Customer59,63171,0
TXN0060,Customer60,16245,1
TXN0061,Customer61,58314,0
TXN0062,Customer62,74218,0
TXN0063,Customer63,18544,1
TXN0064,Customer64,69665,0
TXN0065,Customer65,64476,0
TXN0066,Customer66,40140,1
TXN0067,Customer67,50037,0
TXN0068,Customer68,26875,1
TXN0069,Customer69,47919,1
TXN0070,Customer70,94724,0
TXN0071,Customer71,75498,0
TXN0072,Customer72,45130,1
TXN0073,Customer73,48472,1
TXN0074,Customer74,58200,0
TXN0075,Customer75,35552,1
TXN0076,Customer76,62365,0
TXN0077,Customer77,29965,1
TXN0078,Customer78,38719,1
TXN0079,Customer79,33384,1
TXN0080,Customer80,89294,0
TXN0081,Customer81,43140,1
TXN0082,Customer82,22100,1
TXN0083,Customer83,95756,0
TXN0084,Customer84,53706,0
TXN0085,Customer85,17460,1
